Indmeta_text,﻿IndMetaID
"Skilled birth attendance (%), By urban wealth quintile Q1",965
"Skilled birth attendance (%), By urban wealth quintile Q2",966
"Skilled birth attendance (%), By urban wealth quintile Q3",967
"Skilled birth attendance (%), By urban wealth quintile Q4",968
"Skilled birth attendance (%), By urban wealth quintile Q5",969
"Death rates of anemia,  per 100,000 population",970
Risk of premature death from target NCDs (%),971
"Death rates of CVD, cerebrovascular disease, per 100,000 population",972
"NCD death rates under 70, male, per 100,000 population",973
"NCD death rates under 70, female, per 100,000 population",974
"Malnutrition prevalence, stunting total (height for age) (% of children < 5 years)",1057
Children < 5 years who are stunted: moderate (%),1059
Children < 5 years who are stunted: severe (%),1061
"Malnutrition prevalence, wasting total (weight for age) (% of children < 5 years)",1063
Children < 5 years who are wasted: moderate (%),1065
Children < 5 years who are wasted: severe (%),1067
Malnutrition prevalence underweight (weight for age) (% of children < 5 years),1069
Number of indicators per country,1071
Indicator coverage per country (%),1072
"Number of indicators with data ≥2010, per country",1073
"Indicator coverage with data ≥2010,(%)",1074
Anemia in children aged < 5 years (%),1075
Total populations1 (millions),1080
Infants who are breastfed for 12 months1 (%),1083
Infants who are breastfed for 12 months2 (%),1099
Refence,1110
Refence,1122
Children ever breastfed,1144
Children who started breastfeeding within 1 hour of birth,1147
Children who started breastfeeding within 1 day of birth,1150
Children who received a prelacteal feed,1153
Children ever breastfed,1156
Salt supply per capita per day (g),1173
Milk and Dairy product supply (g/capita/day),1184
Health Status,1221
Health Status,1224
Health Status,1227
Health Status,1230
Number of Obstetricians,1264
Number of general practitioners with some midwifery competencies,1267
Number of other health professionals with some midwifery competencies,1270
Number of community health workers with some midwifery training,1273
Estimated number of workforce shortage to attain 95% skilled birth attendance by 2015,1276
Anemia in children aged < 5 years in thousand All,1285
"Children with any anemia, Total",1288
"Children with any anemia, 6-8 months",1291
"Children with any anemia, 9-11 months",1294
"Children with any anemia, 12-17 months",1297
"Children with any anemia, 18-23 months",1300
"Children with any anemia, 24-35 months",1303
"Children with any anemia, 36-47 months",1306
"Children with any anemia, 48-59 months",1309
"Children with mild anemia, Total",1312
"Children with mild anemia, 6-8 months",1315
"Children with mild anemia, 9-11 months",1318
"Children with mild anemia, 12-17 months",1321
"Children with mild anemia, 18-23 months",1324
"Children with mild anemia, 24-35 months",1327
"Children with mild anemia, 36-47 months",1330
"Children with mild anemia, 48-59 months",1333
"Children with moderate anemia, Total",1336
"Children with moderate anemia, 6-8 months",1339
"Children with moderate anemia, 9-11 months",1342
"Children with moderate anemia, 12-17 months",1345
"Children with moderate anemia, 18-23 months",1348
"Children with moderate anemia, 24-35 months",1351
"Children with moderate anemia, 36-47 months",1354
"Children with moderate anemia, 48-59 months",1357
"Children with severe anemia, Total",1360
"Children with severe anemia, 6-8 months",1363
"Children with severe anemia, 9-11 months",1366
"Children with severe anemia, 12-17 months",1369
"Children with severe anemia, 18-23 months",1372
"Children with severe anemia, 24-35 months",1375
"Children with severe anemia, 36-47 months",1378
"Children with severe anemia, 48-59 months",1381
Vitamin A deficiency in preschool age children (%),1386
Vitamin A deficiency in pregnant women (%),1389
Iodine deficiency in children 6-18 years old (%),1432
Prevalence of anemia in pregnant women (15-49 years) (%),1461
"Frequency of fruit consumption, less than 4 times a week but at least once a week (%), male, adults, Europe",1512
"Frequency of fruit consumption, less than 4 times a week but at least once a week (%), female, adults, Europe",1515
"Daily vegetable  consumption (%), boys aged 11 years, Europe",1526
"Daily vegetable  consumption (%), girls aged 11 years, Europe",1529
"Daily vegetable  consumption (%), boys aged 13 years, Europe",1532
"Daily vegetable  consumption (%), girls aged 13 years, Europe",1535
"Daily vegetable  consumption (%),  boys aged 15 years, Europe",1538
"Daily vegetable  consumption (%), girls aged 15 years, Europe",1541
"Daily fruit  consumption (%), boys aged 11 years, Europe",1544
"Daily fruit  consumption (%), girls aged 11 years, Europe",1547
"Daily fruit  consumption (%), boys aged 13 years, Europe",1550
"Daily fruit  consumption (%), girls aged 13 years, Europe",1553
"Daily fruit  consumption (%), boys aged 15 years, Europe",1556
"Daily fruit  consumption (%), girls aged 15 years, Europe",1559
"Breastfeeding children receiving infant formula,total",1568
"Breastfeeding children receiving infant formula,0-1 months",1571
"Breastfeeding children receiving infant formula,2-3 months",1574
"Breastfeeding children receiving infant formula,4-5 months",1577
"Breastfeeding children receiving infant formula,6-8 months",1580
"Breastfeeding children receiving infant formula,9-11 months",1583
"Breastfeeding children receiving infant formula,12-17 months",1586
"Breastfeeding children receiving infant formula, 18-23 months",1589
"Breastfeeding children receiving infant formula,6-23 months",1592
"Breastfeeding children receiving other milk,other",1595
"Breastfeeding children receiving other milk,0-1 months",1598
"Breastfeeding children receiving other milk,2-3 months",1601
"Breastfeeding children receiving other milk,4-5 months",1604
"Breastfeeding children receiving other milk,6-8 months",1607
"Breastfeeding children receiving other milk,9-11 months",1610
"Breastfeeding children receiving other milk,12-17 months",1613
"Breastfeeding children receiving other milk,18-23 months",1616
"Breastfeeding children receiving other milk,6-23 months",1619
"Breastfeeding children receiving other liquids,total",1622
"Breastfeeding children receiving other liquids,0-1 months",1625
"Breastfeeding children receiving infant formula,total",1628
"Breastfeeding children receiving infant formula,total",1629
"Breastfeeding children receiving infant formula,0-1 months",1632
"Breastfeeding children receiving infant formula,2-3 months",1635
"Breastfeeding children receiving infant formula,4-5 months",1638
"Breastfeeding children receiving infant formula,6-8 months",1641
"Breastfeeding children receiving infant formula,9-11 months",1644
"Breastfeeding children receiving infant formula,12-17 months",1647
"Breastfeeding children receiving infant formula, 18-23 months",1650
"Breastfeeding children receiving infant formula,6-23 months",1653
"Breastfeeding children receiving other milk,other",1656
"Breastfeeding children receiving other milk,0-1 months",1659
"Breastfeeding children receiving other milk,2-3 months",1662
"Breastfeeding children receiving other milk,4-5 months",1665
"Breastfeeding children receiving other milk,6-8 months",1668
"Breastfeeding children receiving other milk,9-11 months",1671
"Breastfeeding children receiving other milk,12-17 months",1674
"Breastfeeding children receiving other milk,18-23 months",1677
"Breastfeeding children receiving other milk,6-23 months",1680
"Breastfeeding children receiving other liquids,total",1683
"Breastfeeding children receiving other liquids,0-1 months",1686
"Breastfeeding children receiving infant formula,total",1689
"Breastfeeding children receiving infant formula,0-1 months",1692
"Breastfeeding children receiving infant formula,2-3 months",1695
"Breastfeeding children receiving infant formula,4-5 months",1698
"Breastfeeding children receiving infant formula,6-8 months",1701
"Breastfeeding children receiving infant formula,9-11 months",1704
"Breastfeeding children receiving infant formula,12-17 months",1707
"Breastfeeding children receiving infant formula, 18-23 months",1710
"Breastfeeding children receiving infant formula,6-23 months",1713
"Breastfeeding children receiving other milk,other",1716
"Breastfeeding children receiving other milk,0-1 months",1719
"Breastfeeding children receiving other milk,2-3 months",1722
"Breastfeeding children receiving other milk,4-5 months",1725
"Breastfeeding children receiving other milk,6-8 months",1728
"Breastfeeding children receiving other milk,9-11 months",1731
"Breastfeeding children receiving other milk,12-17 months",1734
"Breastfeeding children receiving other milk,18-23 months",1737
"Breastfeeding children receiving other milk,6-23 months",1740
"Breastfeeding children receiving other liquids,total",1743
"Breastfeeding children receiving other liquids,0-1 months",1746
"Non-Breastfeeding children receiving infant formula,total",1749
"Non-Breastfeeding children receiving infant formula,0-1 months",1752
"Non-Breastfeeding children receiving infant formula,2-3 months",1755
"Non-Breastfeeding children receiving infant formula,4-5 months",1758
"Non-Breastfeeding children receiving infant formula,6-8 months",1761
"Non-Breastfeeding children receiving infant formula,9-11 months",1764
"Non-Breastfeeding children receiving infant formula,12-17 months",1767
"Non-Breastfeeding children receiving infant formula, 18-23 months",1770
"Non-Breastfeeding children receiving infant formula,6-23 months",1773
"Non-Breastfeeding children receiving other milk,other",1776
"Non-Breastfeeding children receiving other milk,0-1 months",1779
"Non-Breastfeeding children receiving other milk,2-3 months",1782
"Non-Breastfeeding children receiving other milk,4-5 months",1785
"Non-Breastfeeding children receiving other milk,6-8 months",1788
"Non-Breastfeeding children receiving other milk,9-11 months",1791
"Non-Breastfeeding children receiving other milk,12-17 months",1794
"Non-Breastfeeding children receiving other milk,18-23 months",1797
"Non-Breastfeeding children receiving other milk,6-23 months",1800
"Non-Breastfeeding children receiving other liquids,total",1803
"Non-Breastfeeding children receiving other liquids,0-1 months",1806
"Non-Breastfeeding children receiving other liquids,2-3 months",1809
"Non-Breastfeeding children receiving other liquids,4-5 months",1812
"Non-Breastfeeding children receiving other liquids,6-8 months",1815
"Non-Breastfeeding children receiving other liquids,9-11 months",1818
"Non-Breastfeeding children receiving other liquids,12-17 months",1821
"Non-Breastfeeding children receiving other liquids,18-23 months",1824
"Non-Breastfeeding children receiving other liquids,6-23 months",1827
"Non-Breastfeeding children receiving fortified baby food,total",1830
"Non-Breastfeeding children receiving fortified baby food,0-1 months",1833
"Non-Breastfeeding children receiving fortified baby food,2-3 months",1836
"Non-Breastfeeding children receiving fortified baby food,4-5 months",1839
"Non-Breastfeeding children receiving fortified baby food,6-8 months",1842
"Non-Breastfeeding children receiving fortified baby food,9-11 months",1845
"Non-Breastfeeding children receiving fortified baby food,12-17 months",1848
"Non-Breastfeeding children receiving fortified baby food,18-23 months",1851
"Non-Breastfeeding children receiving fortified baby food,6-23 months",1854
"Non-Breastfeeding children receiving foods made from grains,total",1857
"Non-Breastfeeding children receiving foods made from grains,0-1 months",1860
"Non-Breastfeeding children receiving foods made from grains,2-3 months",1863
"Non-Breastfeeding children receiving foods made from grains,4-5 months",1866
"Non-Breastfeeding children receiving foods made from grains,6-8 months",1869
"Non-Breastfeeding children receiving foods made from grains,9-11 months",1872
"Non-Breastfeeding children receiving foods made from grains,12-17 months",1875
"Non-Breastfeeding children receiving foods made from grains,18-23 months",1878
"Non-Breastfeeding children receiving foods made from grains,6-23 months",1881
"Non-Breastfeeding children receiving fruits and vegetables rich in vitamin a,total",1884
"Non-Breastfeeding children receiving fruits and vegetables rich in vitamin a,0-1 months",1887
"Non-Breastfeeding children receiving fruits and vegetables rich in vitamin a,2-3 months",1890
"Non-Breastfeeding children receiving fruits and vegetables rich in vitamin a,4-5 months",1893
"Non-Breastfeeding children receiving fruits and vegetables rich in vitamin a,6-8 months",1896
"Non-Breastfeeding children receiving fruits and vegetables rich in vitamin a,9-11 months",1899
"Non-Breastfeeding children receiving fruits and vegetables rich in vitamin a,12-17 months",1902
"Non-Breastfeeding children receiving fruits and vegetables rich in vitamin a,18-23 months",1905
"Non-Breastfeeding children receiving fruits and vegetables rich in vitamin a,6-23 months",1908
"Non-Breastfeeding children receiving other fruits and vegetables,total",1911
"Non-Breastfeeding children receiving other fruits and vegetables,0-1 months",1914
"Non-Breastfeeding children receiving other fruits and vegetables,2-3 months",1917
"Non-Breastfeeding children receiving other fruits and vegetables,4-5 months",1920
"Non-Breastfeeding children receiving other fruits and vegetables,6-8 months",1923
"Non-Breastfeeding children receiving other fruits and vegetables,9-11 months",1926
"Non-Breastfeeding children receiving other fruits and vegetables,12-17 months",1929
"Non-Breastfeeding children receiving other fruits and vegetables,18-23 months",1932
"Non-Breastfeeding children receiving other fruits and vegetables,6-23 months",1935
"Non-Breastfeeding children receiving food made from roots and tubers,total",1938
"Non-Breastfeeding children receiving food made from roots and tubers,0-1 months",1941
"Non-Breastfeeding children receiving food made from roots and tubers,2-3 months",1944
"Non-Breastfeeding children receiving food made from roots and tubers,4-5 months",1947
"Non-Breastfeeding children receiving food made from roots and tubers,6-8 months",1950
"Non-Breastfeeding children receiving food made from roots and tubers,9-11 months",1953
"Non-Breastfeeding children receiving food made from roots and tubers,12-17 months",1956
"Non-Breastfeeding children receiving food made from roots and tubers,18-23 months",1959
"Non-Breastfeeding children receiving food made from roots and tubers,6-23 months",1962
"Non-Breastfeeding children receiving food made from legumes and nuts,total",1965
"Non-Breastfeeding children receiving food made from legumes and nuts,0-1 months",1968
"Non-Breastfeeding children receiving food made from legumes and nuts,2-3 months",1971
"Non-Breastfeeding children receiving food made from legumes and nuts,4-5 months",1974
"Non-Breastfeeding children receiving food made from legumes and nuts,6-8 months",1977
"Non-Breastfeeding children receiving food made from legumes and nuts,9-11 months",1980
"Non-Breastfeeding children receiving food made from legumes and nuts,12-17 months",1983
"Non-Breastfeeding children receiving food made from legumes and nuts,18-23 months",1986
"Non-Breastfeeding children receiving food made from legumes and nuts,6-23 months",1989
"Non-Breastfeeding children receiving meat, fish, poultry,total",1992
"Non-Breastfeeding children receiving meat, fish, poultry,0-1 months",1995
"Non-Breastfeeding children receiving meat, fish, poultry,2-3 months",1998
"Non-Breastfeeding children receiving meat, fish, poultry,4-5 months",2001
"Non-Breastfeeding children receiving meat, fish, poultry,6-8 months",2004
"Non-Breastfeeding children receiving meat, fish, poultry,9-11 months",2007
"Non-Breastfeeding children receiving meat, fish, poultry,12-17 months",2010
"Non-Breastfeeding children receiving meat, fish, poultry,18-23 months",2013
"Non-Breastfeeding children receiving meat, fish, poultry,6-23 months",2016
"Non-Breastfeeding children receiving eggs,total",2019
"Non-Breastfeeding children receiving eggs,0-1 months",2022
"Non-Breastfeeding children receiving eggs,2-3 months",2025
"Non-Breastfeeding children receiving eggs,4-5 months",2028
"Non-Breastfeeding children receiving eggs,6-8 months",2031
"Non-Breastfeeding children receiving eggs,9-11 months",2034
"Non-Breastfeeding children receiving eggs,12-17 months",2037
"Non-Breastfeeding children receiving eggs,18-23 months",2040
"Non-Breastfeeding children receiving eggs,6-23 months",2043
"Non-Breastfeeding children receiving  meat, fish, eggs,total",2046
"Non-Breastfeeding children receiving meat, fish, eggs,0-1 months",2049
"Non-Breastfeeding children receiving meat, fish, eggs,2-3 months",2052
"Non-Breastfeeding children receiving meat, fish,eggs,4-5 months",2055
"Non-Breastfeeding children receiving meat, fish, eggs,6-8 months",2058
"Non-Breastfeeding children receiving  meat, fish, eggs,9-11 months",2061
"Non-Breastfeeding children receiving meat, fish, eggs,12-17 months",2064
"Non-Breastfeeding children receiving meat, fish, eggs,18-23 months",2067
"Non-Breastfeeding children receiving meat, fish,eggs,6-23 months",2070
"Non-Breastfeeding children receiving cheese, yogurt, other milk product,total",2073
"Non-Breastfeeding children receiving cheese, yogurt, other milk product,0-1 months",2076
"Non-Breastfeeding children receiving cheese, yogurt, other milk product,2-3months",2079
"Non-Breastfeeding children receiving cheese, yogurt, other milk product,4-5 months",2082
"Non-Breastfeeding children receiving cheese, yogurt, other milk product,6-8 months",2085
"Non-Breastfeeding children receiving cheese, yogurt, other milk product,9-11 months",2088
"Non-Breastfeeding children receiving cheese, yogurt, other milk product,12-17 months",2091
"Non-Breastfeeding children receiving cheese, yogurt, other milk product,18-23 months",2094
"Non-Breastfeeding children receiving cheese, yogurt, other milk product,6-23 months",2097
"Non-Breastfeeding children receiving other foods,total",2100
"Non-Breastfeeding children receiving other foods,0-1 months",2103
"Non-Breastfeeding children receiving other foods,2-3 months",2106
"Non-Breastfeeding children receiving other foods,4-5 months",2109
"Non-Breastfeeding children receiving other foods,6-8 months",2112
"Non-Breastfeeding children receiving other foods,9-11 months",2115
"Non-Breastfeeding children receiving other foods,12-17 months",2118
"Non-Breastfeeding children receiving other foods,18-23 months",2121
"Non-Breastfeeding children receiving other foods,6-23 months",2124
Children <5  severely stunted,2223
Children <5 stunted,2226
Children <5 severely wasted,2229
Children <5 wasted,2232
Children <5 overweight,2235
Children <5 severely underweight,2238
Children <5 underweight,2241
Children <5 overweight for their age,2244
"Vegetable supply, quantity (g/capita/day)",2247
"Fruit supply, quantity (g per person per day)",2250
Meat supply (g/capita/day),2253
Children <5 who are overweight (%),2256
Children <5 who are obese (%),2259
"Children with any anemia, Total",2262
"Children with any anemia, 6-8 months",2265
"Children with any anemia, 9-11 months",2268
"Children with any anemia, 12-17 months",2271
"Children with any anemia, 18-23 months",2274
"Children with any anemia, 24-35 months",2277
"Children with any anemia, 36-47 months",2280
"Children with any anemia, 48-59 months",2283
"Children with mild anemia, Total",2286
"Children with mild anemia, 6-8 months",2289
"Children with mild anemia, 9-11 months",2292
"Children with mild anemia, 12-17 months",2295
"Children with mild anemia, 18-23 months",2298
"Children with mild anemia, 24-35 months",2301
"Children with mild anemia, 36-47 months",2304
"Children with mild anemia, 48-59 months",2307
"Children with moderate anemia, Total",2310
"Children with moderate anemia, 6-8 months",2313
"Children with moderate anemia, 9-11 months",2316
"Children with moderate anemia, 12-17 months",2319
"Children with moderate anemia, 18-23 months",2322
"Children with moderate anemia, 24-35 months",2325
"Children with moderate anemia, 36-47 months",2328
"Children with moderate anemia, 48-59 months",2331
"Children with severe anemia, Total",2334
"Children with severe anemia, 6-8 months",2337
"Children with severe anemia, 9-11 months",2340
"Children with severe anemia, 12-17 months",2343
"Children with severe anemia, 18-23 months",2346
"Children with severe anemia, 24-35 months",2349
"Children with severe anemia, 36-47 months",2352
"Children with severe anemia, 48-59 months",2355
"Breastfeeding children receiving other fruits and vegetables,12-17 months",2360
"Breastfeeding children receiving other fruits and vegetables,18-23 months",2363
"Breastfeeding children receiving other fruits and vegetables,6-23 months",2366
"Breastfeeding children receiving food made from roots and tubers,total",2369
"Breastfeeding children receiving food made from roots and tubers,0-1 months",2372
"Breastfeeding children receiving food made from roots and tubers,2-3 months",2375
"Breastfeeding children receiving food made from roots and tubers,4-5 months",2378
"Breastfeeding children receiving food made from roots and tubers,6-8 months",2381
"Breastfeeding children receiving food made from roots and tubers,9-11 months",2384
"Breastfeeding children receiving food made from roots and tubers,12-17 months",2387
"Breastfeeding children receiving food made from roots and tubers,18-23 months",2390
"Breastfeeding children receiving food made from roots and tubers,6-23 months",2393
"Breastfeeding children receiving food made from legumes and nuts,total",2396
"Breastfeeding children receiving food made from legumes and nuts,0-1 months",2399
"Breastfeeding children receiving food made from legumes and nuts,2-3 months",2402
"Breastfeeding children receiving food made from legumes and nuts,4-5 months",2405
"Breastfeeding children receiving food made from legumes and nuts,6-8 months",2408
"Breastfeeding children receiving food made from legumes and nuts,9-11 months",2411
"Breastfeeding children receiving food made from legumes and nuts,12-17 months",2414
"Breastfeeding children receiving food made from legumes and nuts,18-23 months",2417
"Breastfeeding children receiving food made from legumes and nuts,6-23 months",2420
"Breastfeeding children receiving meat, fish, poultry,total",2423
"Breastfeeding children receiving meat, fish, poultry,0-1 months",2426
"Breastfeeding children receiving meat, fish, poultry,2-3 months",2429
"Breastfeeding children receiving meat, fish, poultry,4-5 months",2432
"Breastfeeding children receiving meat, fish, poultry,6-8 months",2435
"Breastfeeding children receiving meat, fish, poultry,9-11 months",2438
"Breastfeeding children receiving meat, fish, poultry,12-17 months",2441
"Breastfeeding children receiving meat, fish, poultry,18-23 months",2444
"Breastfeeding children receiving meat, fish, poultry,6-23 months",2447
"Breastfeeding children receiving eggs,total",2450
"Breastfeeding children receiving eggs,0-1 months",2453
"Breastfeeding children receiving eggs,2-3 months",2456
"Breastfeeding children receiving eggs,4-5 months",2459
"Breastfeeding children receiving eggs,6-8 months",2462
"Breastfeeding children receiving eggs,9-11 months",2465
"Breastfeeding children receiving eggs,12-17 months",2468
"Breastfeeding children receiving eggs,18-23 months",2471
"Breastfeeding children receiving eggs,6-23 months",2474
"Breastfeeding children receiving  meat, fish, eggs,total",2477
"Breastfeeding children receiving meat, fish, eggs,0-1 months",2480
"Breastfeeding children receiving meat, fish, eggs,2-3 months",2483
"Breastfeeding children receiving meat, fish,eggs,4-5 months",2486
"Breastfeeding children receiving meat, fish, eggs,6-8 months",2489
"Breastfeeding children receiving  meat, fish, eggs,9-11 months",2492
"Breastfeeding children receiving meat, fish, eggs,12-17 months",2495
"Breastfeeding children receiving meat, fish, eggs,18-23 months",2498
"Breastfeeding children receiving meat, fish,eggs,6-23 months",2501
"Breastfeeding children receiving cheese, yogurt, other milk product,total",2504
"Breastfeeding children receiving cheese, yogurt, other milk product,0-1 months",2507
"Breastfeeding children receiving cheese, yogurt, other milk product,2-3months",2510
"Breastfeeding children receiving cheese, yogurt, other milk product,4-5 months",2513
"Breastfeeding children receiving cheese, yogurt, other milk product,6-8 months",2516
"Breastfeeding children receiving cheese, yogurt, other milk product,9-11 months",2519
"Breastfeeding children receiving cheese, yogurt, other milk product,12-17 months",2522
"Breastfeeding children receiving cheese, yogurt, other milk product,18-23 months",2525
"Breastfeeding children receiving cheese, yogurt, other milk product,6-23 months",2528
"Breastfeeding children receiving other foods,total",2531
"Breastfeeding children receiving other foods,0-1 months",2534
"Breastfeeding children receiving other foods,2-3 months",2537
"Breastfeeding children receiving other foods,4-5 months",2540
"Breastfeeding children receiving other foods,6-8 months",2543
"Breastfeeding children receiving other foods,9-11 months",2546
"Breastfeeding children receiving other foods,12-17 months",2549
"Breastfeeding children receiving other foods,18-23 months",2552
"Breastfeeding children receiving other foods,6-23 months",2555
% of children aged < 3 years who were ever breastfed,2558
Vitamin C intake - mean per capita among 4-13y (mg/day),2564
Vitamin E intake - mean per capita among 4-13y (mg/day),2567
Thiamin intake - mean per capita among 4-13y (mg/day),2570
Riboflavin intake - mean per capita among 4-13y (mg/day),2573
Niacin intake - mean per capita among 4-13y (mg/day),2576
Vitamin B6 intake - mean per capita among 4-13y (mg/day),2579
Folate intake - mean per capita among 4-13y (µg/day),2582
Vitamin B12 intake - mean per capita among 4-13y (µg/day),2585
Calcium intake - mean per capita among 4-13y (mg/day),2588
Phosphorus intake - mean per capita among 4-13y (mg/day),2591
Magnesium intake - mean per capita among 4-13y (mg/day),2594
Vitamin D intake - mean per capita among 4-13y (µg/day),2597
Copper intake - mean per capita among 4-13y (mg/day),2600
Selenium intake - mean per capita among 4-13y (µg/day),2603
Iron intake - mean per capita among 4-13y (mg/day),2606
Zinc intake - mean per capita among 4-13y (mg/day),2609
Sodium intake - mean per capita among 4-13y (mg/day),2612
Potassium intake - mean per capita among 4-13y (mg/day),2615
Vitamin A intake - mean per capita among 4-13y (µg retinol activity equivalent/day),2618
Vitamin K intake - mean per capita among 4-13y (µg/day),2621
% children consuming breakfast (4-8y),2624
% children consuming breakfast (9-13y),2627
% children consuming breakfast (4-13y),2630
% children consuming lunch (4-8y),2633
% children consuming lunch (9-13y),2636
% children consuming lunch (4-13y),2639
% children consuming snacks (4-8y),2642
% children consuming snacks (9-13y),2645
% children consuming snacks (4-13y),2648
% children consuming dinner (4-8y),2651
% children consuming dinner (9-13y),2654
% children consuming dinner (4-13y),2657
Energy intake from breakfast among 4-8y (% EI),2660
Energy intake from breakfast among 9-13y (% EI),2663
Energy intake from breakfast among 4-13y (% EI),2666
Energy intake from lunch among 4-8y (% EI),2669
Energy intake from lunch among 9-13y (% EI),2672
Energy intake from lunch among 4-13y (% EI),2675
Energy intake from snacks among 4-8y (% EI),2678
Energy intake from snacks among 9-13y (% EI),2681
Energy intake from snacks among 4-13y (% EI),2684
Energy intake from dinner among 4-8y (% EI),2687
Energy intake from dinner among 9-13y (% EI),2690
Energy intake from dinner among 4-13y (% EI),2693
Dietary fiber intake - mean per capita among 4-8y (g/day),2696
Dietary fiber intake - mean per capita among 9-13y (g/day),2699
Dietary fiber intake - mean per capita among 4-13y (g/day),2702
